Rank,Name,Score,Finish Time ,Q1 (2),Q2 (4),Q3 (5),Q4 (6)
41,Hustler2  ,17,0:25:43, 0:04:16, 0:02:49, 0:14:40, 0:25:43
42,stupidRR  ,17,0:25:50, 0:15:17  1, 0:04:00, 0:20:50, 0:13:51
43,liouzhou_101  ,17,0:26:24, 0:00:47, 0:03:41  1, 0:11:15, 0:21:24
44,lotusblume  ,17,0:26:34, 0:04:25, 0:04:20  1, 0:11:05, 0:21:34
45,ztxz16  ,17,0:26:42, 0:00:49, 0:19:58, 0:16:21, 0:26:42
46,NewbieHMT  ,17,0:26:47, 0:02:01, 0:04:00, 0:13:20, 0:26:47
47,cpchenpi  ,17,0:26:47, 0:00:36, 0:05:49  1, 0:14:28, 0:21:47
48,liupengsay  ,17,0:26:51, 0:26:51, 0:26:48, 0:26:45, 0:26:43
49,charizard21  ,17,0:27:01, 0:01:39, 0:06:24  1, 0:16:17, 0:22:01
50,jiang-wu-f  ,17,0:27:17, 0:02:17, 0:04:25, 0:17:28, 0:27:17
51,sysulby  ,17,0:27:19, 0:00:42, 0:05:09  1, 0:11:53, 0:22:19
52,plevande  ,17,0:27:34, 0:02:33, 0:04:06, 0:22:34, 0:13:47  1
53,shawnxi  ,17,0:27:40, 0:00:54, 0:04:05, 0:19:21, 0:27:40
54,lucky-boy-c9  ,17,0:27:41, 0:00:44, 0:02:51, 0:16:10, 0:27:41
55,VimT  ,17,0:28:00, 0:01:44, 0:07:55, 0:16:16, 0:28:00
56,zcgzcgzcg  ,17,0:28:19, 0:01:30, 0:04:51, 0:15:12, 0:28:19
57,Laxman_Singh_Saini  ,17,0:28:26, 0:02:25, 0:06:12, 0:18:18, 0:28:26
58,masteralphi  ,17,0:28:30, 0:01:24, 0:04:18, 0:20:21, 0:28:30
59,lddlinan  ,17,0:29:00, 0:00:45, 0:03:30, 0:09:17, 0:29:00
60,prajwal_733  ,17,0:29:05, 0:01:43, 0:08:07, 0:14:50, 0:29:05
61,htedsv-i  ,17,0:29:13, 0:00:54, 0:05:13, 0:13:21, 0:29:13
62,amsraman  ,17,0:29:31, 0:01:14, 0:05:12  1, 0:13:13, 0:24:31
63,comld  ,17,0:30:11, 0:01:01, 0:06:20, 0:30:11, 0:23:04
64,dirigibility  ,17,0:30:27, 0:03:08, 0:05:17, 0:17:27, 0:30:27
65,nostalgic-7iskovnva  ,17,0:30:37, 0:01:38, 0:05:14  1, 0:18:50, 0:25:37
66,1926817  ,17,0:30:55, 0:01:07, 0:05:04, 0:16:41, 0:25:55  1
67,fuwutu  ,17,0:31:39, 0:01:41, 0:05:12, 0:19:50, 0:26:39  1
68,loodv002  ,17,0:31:47, 0:04:25, 0:03:18, 0:11:45, 0:21:47  2
69,cros107  ,17,0:31:57, 0:02:11, 0:04:18, 0:17:24, 0:26:57  1
70,zronghui  ,17,0:32:01, 0:16:31, 0:16:21, 0:16:13, 0:27:01  1
71,Carisa-Li  ,17,0:32:15, 0:01:55, 0:06:32, 0:20:02, 0:32:15
72,hevix  ,17,0:32:17, 0:00:53, 0:04:23, 0:14:35, 0:32:17
73,w285714  ,17,0:32:18, 0:00:57, 0:03:17, 0:13:42, 0:32:18
74,yh2021shx  ,17,0:32:22, 0:01:04, 0:03:55  1, 0:12:33, 0:27:22
75,subhra_29  ,17,0:32:33, 0:01:21, 0:05:33  1, 0:22:56, 0:27:33
76,ywwbill  ,17,0:32:34, 0:03:00, 0:05:17, 0:21:15, 0:32:34
77,Cu-OH-2  ,17,0:32:48, 0:01:16, 0:05:01  1, 0:20:53, 0:27:48
78,youngk-2  ,17,0:32:50, 0:01:12, 0:05:57  1, 0:14:44, 0:27:50
79,mai-bing-tang-hu-lu-de-da-shu  ,17,0:32:51, 0:00:43, 0:02:45, 0:22:04, 0:32:51
80,aaronyen  ,17,0:32:55, 0:04:12, 0:03:12, 0:16:20, 0:32:55
81,XAXAEBATb  ,17,0:32:59, 0:25:20, 0:27:59  1, 0:25:40, 0:25:12
82,milind0110  ,17,0:33:03, 0:04:28, 0:04:14, 0:26:10, 0:33:03
83,Abhi_Srivastava  ,17,0:33:21, 0:01:25, 0:03:53  1, 0:12:58, 0:28:21
84,Maruzensky  ,17,0:33:23, 0:03:26, 0:04:16, 0:16:15, 0:28:23  1
85,Ishwarendra  ,17,0:33:23, 0:02:25, 0:06:05, 0:21:47, 0:33:23
86,ashwanthkannan  ,17,0:33:26, 0:18:26  1, 0:17:45  2, 0:14:15, 0:04:34
87,deepinc  ,17,0:33:28, 0:01:16, 0:04:59  2, 0:15:24, 0:23:28
88,nguyenquocthao00  ,17,0:33:42, 0:02:53, 0:06:05, 0:22:06, 0:33:42
89,desert-fu  ,17,0:34:01, 0:27:09, 0:27:21, 0:26:33, 0:29:01  1
90,nikatamliani1  ,17,0:34:10, 0:01:43, 0:05:09, 0:13:16, 0:34:10
91,eurekaz  ,17,0:34:18, 0:04:27, 0:03:14, 0:14:57, 0:34:18
92,darrenhp  ,17,0:34:22, 0:01:47, 0:04:38, 0:18:03, 0:29:22  1
93,colecantcode  ,17,0:34:32, 0:01:21, 0:04:48, 0:27:07, 0:34:32
94,keep-fighting  ,17,0:34:33, 0:06:27, 0:05:16, 0:27:32, 0:34:33
95,kzyKT  ,17,0:35:13, 0:03:43, 0:02:46, 0:20:13, 0:35:13
96,ba-qi-qi-qi  ,17,0:35:23, 0:04:08  1, 0:03:04, 0:17:32  1, 0:25:23
97,min-yi-qiu-zhi  ,17,0:35:37, 0:01:19, 0:06:39  1, 0:17:29, 0:30:37
98,Kude  ,17,0:35:37, 0:01:43, 0:07:20  2, 0:15:26, 0:20:37  1
99,00zi-jian  ,17,0:35:41, 0:03:33, 0:02:42, 0:27:04, 0:35:41
100,jinmingli  ,17,0:35:50, 0:01:25, 0:04:01  1, 0:11:12, 0:25:50  1
101,qiye-5  ,17,0:36:12, 0:01:02, 0:05:04  1, 0:25:32, 0:31:12
102,cjycleaner  ,17,0:36:16, 0:00:47, 0:02:38, 0:08:13, 0:31:16  1
103,shnirelman  ,17,0:37:22, 0:01:25, 0:07:30, 0:13:51, 0:32:22  1
104,SsssD  ,17,0:37:30, 0:01:04, 0:08:31, 0:16:28, 0:32:30  1
105,vinson-k  ,17,0:37:36, 0:01:36, 0:06:19  1, 0:20:27, 0:32:36
106,HinaSnow  ,17,0:38:01, 0:02:10, 0:08:10, 0:24:18, 0:38:01
107,balakrishnan_v  ,17,0:38:28, 0:33:28, 0:32:33  1, 0:29:08, 0:16:40
108,user2937Vz  ,17,0:38:32, 0:04:17, 0:06:41, 0:38:32, 0:28:33
109,puktt  ,17,0:38:35, 0:02:02, 0:27:46  1, 0:19:50, 0:33:35
110,_kevinyang  ,17,0:38:38, 0:22:18  1, 0:21:17  1, 0:20:13, 0:23:38  1
111,jwseph  ,17,0:38:42, 0:03:03, 0:06:05  1, 0:13:09, 0:33:42
112,yakihan  ,17,0:38:44, 0:07:21, 0:07:23, 0:19:11, 0:33:44  1
113,LarryNY  ,17,0:39:02, 0:01:23, 0:03:46, 0:21:10, 0:34:02  1
114,milesian-c  ,17,0:39:06, 0:00:44, 0:05:25, 0:15:55  1, 0:34:06
115,shu-xi  ,17,0:39:09, 0:01:24, 0:04:42, 0:19:40, 0:39:09
116,piyushag  ,17,0:39:09, 0:04:57, 0:10:09, 0:34:24, 0:39:09
117,meng-hsuan  ,17,0:39:18, 0:02:20, 0:05:33, 0:26:31, 0:39:18
118,bobo7  ,17,0:39:29, 0:32:59, 0:34:17  1, 0:34:23, 0:34:29
119,vibrant-mayerhct  ,17,0:39:35, 0:00:30, 0:02:51, 0:18:54, 0:34:35  1
120,sweet-joliotxq4  ,17,0:40:08, 0:07:22, 0:05:30, 0:23:53, 0:40:08
121,timetoai  ,17,0:40:24, 0:01:38, 0:35:09, 0:26:31, 0:40:24
122,lucifer1004  ,17,0:40:50, 0:00:37, 0:03:29  1, 0:12:48, 0:30:50  1
123,cchao  ,17,0:41:07, 0:01:27, 0:04:37, 0:13:09, 0:36:07  1
124,hongyili  ,17,0:41:26, 0:41:26, 0:04:53, 0:22:56, 0:39:29
125,bharatkhanna1995  ,17,0:41:29, 0:02:07, 0:07:30, 0:21:53, 0:41:29
126,shangzhq007  ,17,0:41:36, 0:00:55, 0:03:16, 0:23:38, 0:36:36  1
127,ram-9  ,17,0:41:51, 0:02:11, 0:13:30, 0:30:17  1, 0:36:51
128,piossel  ,17,0:41:59, 0:05:29, 0:05:58, 0:28:10, 0:41:59
129,jfy-1  ,17,0:42:02, 0:01:08, 0:05:27, 0:21:11, 0:37:02  1
130,shan-cheng-gan-cao  ,17,0:42:02, 0:07:41  1, 0:06:27, 0:23:35, 0:37:02
131,connoryangsingapore  ,17,0:42:02, 0:00:58, 0:06:37, 0:20:43, 0:37:02  1
132,ghosh_abhishek  ,17,0:42:03, 0:01:47, 0:06:13, 0:20:40  1, 0:37:03
133,freya-6  ,17,0:42:11, 0:41:42, 0:41:51, 0:42:01, 0:42:11
134,Tinky1224  ,17,0:42:22, 0:04:23, 0:06:57, 0:29:48, 0:42:22
135,windly  ,17,0:42:28, 0:07:38, 0:12:37, 0:31:44, 0:42:28
136,tai-zhou  ,17,0:42:45, 0:10:59, 0:11:29, 0:25:42, 0:37:45  1
137,decodesubham  ,17,0:42:55, 0:02:22, 0:05:22, 0:38:33, 0:42:55
138,wanghaocheng  ,17,0:43:04, 0:01:25, 0:05:59  1, 0:15:25, 0:38:04
139,zanj0  ,17,0:43:10, 0:05:10, 0:04:27  1, 0:19:48  2, 0:28:10
140,Divyanshu52Singhal  ,17,0:43:15, 0:01:37, 0:03:26, 0:42:00, 0:43:15
141,shakhnoov  ,17,0:43:17, 0:01:59, 0:07:22  1, 0:22:51, 0:38:17
142,pvtrp  ,17,0:43:23, 0:01:31, 0:04:45  1, 0:28:45, 0:38:23
143,NissanKumar  ,17,0:43:48, 0:07:30, 0:05:55, 0:26:09, 0:43:48
144,samanwaysadhu5  ,17,0:43:58, 0:02:09, 0:07:28, 0:29:33, 0:43:58
145,optimistic-spence0ac  ,17,0:44:01, 0:01:27, 0:04:04  1, 0:19:35  1, 0:29:01  1
146,chuan-chih  ,17,0:44:11, 0:05:06, 0:04:58, 0:21:45, 0:44:11
147,alkonaesc  ,17,0:44:40, 0:03:02, 0:03:11, 0:20:51, 0:34:40  2
148,lastprism  ,17,0:44:45, 0:01:16, 0:05:27  1, 0:22:23, 0:39:45
149,lifehappy01  ,17,0:44:47, 0:20:52, 0:23:11  1, 0:39:47, 0:15:08
150,e9ae9933  ,17,0:44:49, 0:00:40, 0:02:35, 0:11:22, 0:34:49  2
151,scanhex  ,17,0:44:51, 0:39:51  1, 0:38:50, 0:13:18, 0:26:37
152,JeffreyLC  ,17,0:44:53, 0:02:41, 0:05:09, 0:19:38, 0:44:53
153,mafulong  ,17,0:45:13, 0:01:01, 0:04:59, 0:18:09, 0:40:13  1
154,Skarekrow  ,17,0:45:21, 0:05:03, 0:23:41, 0:38:05, 0:45:21
155,chaosxlive  ,17,0:45:22, 0:01:19, 0:04:18, 0:22:53, 0:45:22
156,cra2y-montalciniuay  ,17,0:45:43, 0:02:15, 0:08:35, 0:27:23, 0:45:43
157,vonrong  ,17,0:45:46, 0:01:32, 0:17:11  1, 0:32:04, 0:40:46
158,dush1729  ,17,0:45:49, 0:01:27, 0:04:35, 0:17:16, 0:40:49  1
159,kaushal_thakur56  ,17,0:45:49, 0:03:52, 0:16:46, 0:40:14, 0:45:49
160,Chasey  ,17,0:45:54, 0:01:23, 0:03:56, 0:13:22, 0:45:54
161,q1w2e3r4-3  ,17,0:45:57, 0:00:48, 0:04:18, 0:18:59, 0:40:57  1
162,MvKaio  ,17,0:46:06, 0:32:54, 0:32:42, 0:46:06, 0:32:37
163,360verse  ,17,0:46:31, 0:02:37, 0:04:44, 0:46:31, 0:45:37
164,coderchamp07  ,17,0:46:38, 0:02:37, 0:12:52  1, 0:33:50, 0:41:38
165,mrsuns  ,17,0:46:41, 0:01:17, 0:06:24  1, 0:32:19, 0:41:41
166,sun-man-man  ,17,0:46:49, 0:00:53, 0:05:12  1, 0:36:49, 0:27:02  1
167,apassbydreg_code  ,17,0:46:52, 0:01:48  1, 0:09:21, 0:21:20, 0:36:52  1
168,Akshittayal  ,17,0:46:53, 0:02:13, 0:06:31, 0:41:53, 0:22:39  1
169,windyyxz  ,17,0:46:54, 0:01:59, 0:05:42, 0:16:25, 0:46:54
170,zhong-hua-xun  ,17,0:47:23, 0:03:57, 0:03:54, 0:15:30, 0:47:23
171,hastings2k  ,17,0:47:29, 0:01:43, 0:04:37, 0:24:38, 0:47:29
172,rui-de  ,17,0:47:36, 0:01:57, 0:06:56  1, 0:26:28, 0:42:36
173,yin-xing-mai-ming-zhu-m  ,17,0:47:39, 0:00:57, 0:04:33, 0:25:15  1, 0:37:39  1
174,yoochun  ,17,0:47:42, 0:04:49  1, 0:03:31  1, 0:16:25, 0:32:42  1
175,user8383x  ,17,0:47:43, 0:01:59, 0:07:35, 0:31:31, 0:47:43
176,hhhyh  ,17,0:48:01, 0:02:04, 0:04:06  1, 0:23:08, 0:43:01
177,kaq  ,17,0:48:06, 0:01:27, 0:48:06, 0:24:29, 0:31:43
178,Manan04  ,17,0:48:32, 0:01:39, 0:04:12, 0:18:18, 0:38:32  2
179,farmerboy  ,17,0:48:35, 0:01:42, 0:05:24, 0:20:24  1, 0:38:35  1
180,112kms-d  ,17,0:48:40, 0:01:36, 0:04:52  1, 0:25:40  1, 0:38:40
181,Neo_here  ,17,0:48:43, 0:01:41, 0:10:36  2, 0:26:18, 0:38:43
182,Harshit_J12  ,17,0:48:44, 0:35:25, 0:34:31, 0:30:09, 0:48:44
183,adityaatcodeleet  ,17,0:48:45, 0:01:34, 0:05:44  1, 0:26:51, 0:43:45
184,wifi32767  ,17,0:48:47, 0:00:46, 0:12:33  2, 0:19:20, 0:38:47
185,cai_lw  ,17,0:48:57, 0:02:41, 0:04:39  2, 0:14:23, 0:33:57  1
186,dhruv10050  ,17,0:49:11, 0:05:09, 0:09:39  1, 0:28:00, 0:44:11
187,RedHeadphone  ,17,0:49:29, 0:02:53, 0:06:20, 0:22:59, 0:44:29  1
188,OneMore  ,17,0:49:37, 0:01:23, 0:04:27, 0:19:41, 0:49:37
189,abcdhhhh  ,17,0:49:50, 0:03:43, 0:08:02  1, 0:44:50, 0:29:32
190,bear24ice  ,17,0:50:06, 0:01:45, 0:33:39, 0:27:17, 0:45:06  1
191,summerdaway  ,17,0:50:11, 0:00:34, 0:03:09  1, 0:25:49, 0:45:11
192,rgb234rgb  ,17,0:50:18, 0:01:03, 0:09:20  1, 0:26:25, 0:45:18
193,roeexu  ,17,0:50:19, 0:04:49, 0:11:48, 0:29:38, 0:45:19  1
194,alex391a  ,17,0:50:49, 0:04:29, 0:08:49, 0:23:47, 0:50:49
195,vodanh9710  ,17,0:50:50, 0:10:07, 0:13:28, 0:39:09, 0:50:50
196,SkinnySnakeLimb  ,17,0:51:16, 0:42:32, 0:46:16  1, 0:41:38, 0:17:46
197,Tima_  ,17,0:51:19, 0:05:33, 0:06:08  1, 0:18:07, 0:46:19
198,zhao-xi-20  ,17,0:51:32, 0:01:17, 0:04:32  1, 0:18:18, 0:41:32  1
199,celestialcoder  ,17,0:51:38, 0:02:43, 0:07:25, 0:34:12, 0:51:38
200,ye_che  ,17,0:51:52, 0:01:03, 0:05:22  1, 0:36:07, 0:41:52  1
201,DeepakSujay  ,17,0:51:53, 0:02:27, 0:07:18, 0:20:15, 0:46:53  1
202,MKLOL  ,17,0:52:01, 0:02:18, 0:05:33, 0:20:48, 0:47:01  1
203,tarjen  ,17,0:52:07, 0:00:42, 0:04:57  1, 0:11:28, 0:32:07  3
204,WJTung  ,17,0:52:08, 0:01:22, 0:15:52  1, 0:31:25, 0:47:08
205,immortals-n  ,17,0:52:21, 0:02:49, 0:08:31  2, 0:27:57, 0:42:21
206,prepforchange  ,17,0:52:25, 0:01:44, 0:05:16  1, 0:31:17, 0:47:25
207,lee0560  ,17,0:52:32, 0:01:47, 0:04:43, 0:17:51, 0:47:32  1
208,garima9654  ,17,0:52:36, 0:15:06, 0:21:54, 0:42:02, 0:52:36
209,bai-ma-shi-lang  ,17,0:53:13, 0:01:51, 0:07:13  1, 0:30:57  1, 0:43:13
210,aryankamboj  ,17,0:53:21, 0:03:27, 0:18:16, 0:50:37, 0:53:21
211,gua-ke-bi-bu-gua-ke-nan  ,17,0:53:21, 0:02:21, 0:07:31, 0:28:57, 0:53:21
212,JayPokale  ,17,0:53:29, 0:03:48, 0:07:21, 0:46:38, 0:53:29
213,Aparajit-19  ,17,0:53:32, 0:07:04, 0:31:13, 0:45:39, 0:53:32
214,challenger1229  ,17,0:53:32, 0:14:19, 0:12:39, 0:43:53, 0:53:32
215,accepted-7  ,17,0:53:36, 0:01:02, 0:07:15  1, 0:22:35, 0:43:36  1
216,Harsh_400  ,17,0:53:42, 0:01:58, 0:12:21  1, 0:26:58, 0:48:42
217,ericet1234  ,17,0:53:44, 0:03:06, 0:09:15  1, 0:48:44, 0:18:00
218,MeetBrahmbhatt  ,17,0:53:48, 0:02:08, 0:37:33  1, 0:13:20, 0:43:48  1
219,madhav_meshette  ,17,0:54:09, 0:03:08, 0:13:02, 0:52:14, 0:54:09
220,king_leetcode  ,17,0:54:12, 0:18:14, 0:16:55, 0:41:45, 0:54:12
221,Pandepic-pp  ,17,0:54:13, 0:02:56, 0:09:46  1, 0:47:21, 0:49:13
222,Soumen_Golu_001  ,17,0:54:24, 0:08:20, 0:22:55, 0:43:35, 0:54:24
223,gurnam44  ,17,0:54:50, 0:02:10, 0:06:06  2, 0:28:44, 0:44:50
224,Ragumaan  ,17,0:54:51, 0:14:05, 0:16:30, 0:54:51, 0:53:17
225,AmadeusChan  ,17,0:54:54, 0:02:51, 0:06:51, 0:15:40, 0:54:54
226,chirag004  ,17,0:54:55, 0:54:55, 0:54:26, 0:53:48, 0:53:08
227,NaitikPatil  ,17,0:54:58, 0:05:33, 0:04:31  1, 0:27:59  2, 0:39:58
228,salyu  ,17,0:55:00, 0:06:33, 0:11:00  1, 0:25:47, 0:50:00
229,nevergiveup  ,17,0:55:15, 0:01:52, 0:06:19, 0:17:26, 0:55:15
230,deepak022  ,17,0:55:16, 0:01:34, 0:06:59, 0:30:30  1, 0:50:16
231,wei-ji-1  ,17,0:55:18, 0:01:29, 0:04:36, 0:18:45, 0:45:18  2
232,acebenson0704  ,17,0:55:18, 0:02:44, 0:05:15, 0:18:43, 0:45:18  2
233,sishenzhimu  ,17,0:55:26, 0:00:55, 0:02:30, 0:18:51  1, 0:50:26
234,dinusX  ,17,0:55:27, 0:01:32, 0:06:04, 0:55:27, 0:24:55
235,Bambo  ,17,0:55:31, 0:02:42, 0:12:27  1, 0:31:29, 0:50:31
236,gittauros  ,17,0:55:31, 0:02:11, 0:05:59, 0:23:45, 0:50:31  1
237,huangbin5  ,17,0:55:36, 0:01:16, 0:03:44, 0:22:59  1, 0:50:36
238,mastoori1234  ,17,0:55:45, 0:55:45, 0:54:59, 0:51:32, 0:06:19
239,FreeYourMind  ,17,0:55:55, 0:01:09, 0:04:53, 0:22:27, 0:50:55  1
240,Ayush_4803  ,17,0:55:58, 0:11:19, 0:21:47  1, 0:41:10, 0:50:58
241,san-pai-zi-bi-gu  ,17,0:56:00, 0:00:53, 0:06:12  1, 0:27:03  1, 0:41:00  1
242,tepamid  ,17,0:56:01, 0:01:38, 0:10:49, 0:22:32, 0:51:01  1
243,anuraag9800  ,17,0:56:02, 0:13:43, 0:20:58, 0:47:18, 0:56:02
244,heykhushigupta  ,17,0:56:04, 0:08:35, 0:15:03, 0:45:38, 0:56:04
245,martin0327  ,17,0:56:05, 0:02:49, 0:06:59, 0:21:28, 0:56:05
246,cheng-wei-hao  ,17,0:56:09, 0:04:51, 0:04:03, 0:46:09, 0:26:00  2
247,grainmad  ,17,0:56:10, 0:01:29, 0:22:15, 0:56:10, 0:34:09
248,pg_2  ,17,0:56:13, 0:45:35, 0:45:52, 0:45:48, 0:56:13
249,Amansingh-afk  ,17,0:56:17, 0:04:32, 0:13:29  1, 0:38:08, 0:51:17
250,xie-bin-o  ,17,0:56:18, 0:00:49, 0:05:42  1, 0:23:37, 0:46:18  1
251,u_noob_i  ,17,0:56:20, 0:02:11, 0:06:22, 0:17:05, 0:51:20  1
252,meurudesu  ,17,0:56:20, 0:05:04, 0:13:30  1, 0:39:36, 0:51:20
253,vrangr  ,17,0:56:40, 0:02:12, 0:11:14, 0:26:23, 0:56:40
254,tiwariakshat88  ,17,0:56:41, 0:08:56  1, 0:07:09  1, 0:20:43, 0:46:41
255,luo-yu-1x  ,17,0:56:43, 0:01:06, 0:04:58, 0:34:00, 0:56:43
256,saiyedshahid9999  ,17,0:56:50, 0:29:28  1, 0:27:43, 0:49:18, 0:51:50
257,sswapnil_be20  ,17,0:57:03, 0:13:32, 0:20:53, 0:51:40, 0:57:03
258,affectionate-curiedcv  ,17,0:57:08, 0:02:04, 0:08:03  1, 0:31:13, 0:47:08  1
259,Grim77  ,17,0:57:09, 0:01:48, 0:09:06  2, 0:25:47, 0:42:09  1
260,4dm9BKa76z  ,17,0:57:13, 0:00:47, 0:03:39  1, 0:18:19  1, 0:42:13  1
261,21r01a05e6  ,17,0:57:16, 0:14:51, 0:29:28, 0:48:02, 0:57:16
262,twitch_tv_qiqi_impact  ,17,0:57:16, 0:03:47, 0:06:05  1, 0:35:28  1, 0:47:16
263,Technical_Guruji  ,17,0:57:25, 0:57:25, 0:57:15, 0:57:05, 0:56:53
264,0004Lohani  ,17,0:57:26, 0:06:15, 0:17:51  1, 0:50:15, 0:52:26
265,aar01h  ,17,0:57:31, 0:03:32, 0:19:53  1, 0:43:22, 0:52:31
266,grundy_number  ,17,0:57:56, 0:05:33, 0:03:41, 0:24:19, 0:52:56  1
267,xy-li  ,17,0:58:04, 0:09:55, 0:12:10, 0:42:25, 0:58:04
268,shuang-dsd  ,17,0:58:11, 0:00:56, 0:05:17, 0:43:42, 0:53:11  1
269,hughstudy-n  ,17,0:58:22, 0:34:49, 0:37:44, 0:58:22, 0:32:52
270,Ng_Chun-fai  ,17,0:58:27, 0:57:33, 0:57:53, 0:58:11, 0:58:27
271,bei-ling-k  ,17,0:58:30, 0:02:07, 0:07:00  1, 0:32:18, 0:48:30  1
272,sobols  ,17,0:58:32, 0:01:56, 0:06:39, 0:21:23, 0:53:32  1
273,adityaprakashnote4  ,17,0:58:39, 0:04:20, 0:08:58  1, 0:27:35, 0:48:39  1
274,AaronGZK  ,17,0:58:56, 0:04:51, 0:37:39, 0:23:35, 0:58:56
275,ashutoshojha1217  ,17,0:58:57, 0:06:59, 0:38:11, 0:58:57, 0:55:04
276,mkawa222  ,17,0:58:58, 0:01:36, 0:05:05, 0:22:27, 0:53:58  1
277,Mayank_04__  ,17,0:59:03, 0:03:55, 0:29:59  1, 0:49:46, 0:54:03
278,viktor_shv  ,17,0:59:13, 0:02:26, 0:06:36, 0:53:22  1, 0:54:13
279,gcasd001-e  ,17,0:59:17, 0:01:06, 0:05:03, 0:27:34, 0:49:17  2
280,InTiMiDaToR  ,17,0:59:18, 0:06:49, 0:05:29  1, 0:49:18, 0:27:42  1
281,v1dhn  ,17,0:59:20, 0:07:50, 0:22:15, 0:59:20, 0:56:10
282,ke_qing  ,17,0:59:40, 0:01:46, 0:06:06, 0:37:52  2, 0:44:40  1
283,dd2307  ,17,0:59:40, 0:01:22, 0:05:02  1, 0:18:19, 0:44:40  2
284,wjli  ,17,0:59:50, 0:01:38, 0:06:04  2, 0:24:54  2, 0:39:50
285,tushar_dalmia  ,17,0:59:51, 0:03:54, 0:34:12  1, 0:52:50, 0:54:51
286,fpeterfalvi  ,17,1:00:01, 0:04:36, 0:06:22  1, 0:24:35, 0:50:01  1
